00:0c:29:9d:c9:d6,34
00:19:e2:a1:f9:86,28
00:00:00:00:00:00,74
'\x00\x0c)[\\xe8q',2
00:04:00:83:76:2c,36
c2:3d:19:6c:00:01,871
c2:3c:19:6c:00:01,1698
00:0c:29:9d:c9:d6,34
00:19:e2:a1:f9:86,28
00:00:00:00:00:00,74
'\x00\x0c)[\\xe8q',2
00:04:00:83:76:2c,36
c2:3d:19:6c:00:01,1095
c2:3c:19:6c:00:01,1924
00:0c:29:9d:c9:d6,34
00:19:e2:a1:f9:86,28
00:00:00:00:00:00,74
'\x00\x0c)[\\xe8q',2
00:04:00:83:76:2c,40
c2:3d:19:6c:00:01,1297
c2:3c:19:6c:00:01,2148
00:0c:29:9d:c9:d6,34
00:19:e2:a1:f9:86,28
00:00:00:00:00:00,74
'\x00\x0c)[\\xe8q',2
00:04:00:83:76:2c,40
c2:3c:19:6c:00:01,2663
c2:3d:19:6c:00:01,1800
00:0c:29:9d:c9:d6,68
00:19:e2:a1:f9:86,56
00:00:00:00:00:00,148
'\x00\x0c)[\\xe8q',4
00:04:00:83:76:2c,52
c2:3d:19:6c:00:01,2381
c2:3c:19:6c:00:01,3283
00:0c:29:9d:c9:d6,68
00:19:e2:a1:f9:86,56
00:00:00:00:00:00,148
'\x00\x0c)[\\xe8q',4
00:04:00:83:76:2c,52
c2:3d:19:6c:00:01,2605
c2:3c:19:6c:00:01,3509
00:0c:29:9d:c9:d6,85
00:19:e2:a1:f9:86,70
00:00:00:00:00:00,185
'\x00\x0c)[\\xe8q',5
00:04:00:83:76:2c,56
c2:3d:19:6c:00:01,3117
c2:3c:19:6c:00:01,4055
00:0c:29:9d:c9:d6,85
00:19:e2:a1:f9:86,70
00:00:00:00:00:00,185
'\x00\x0c)[\\xe8q',5
00:04:00:83:76:2c,56
c2:3d:19:6c:00:01,3341
c2:3c:19:6c:00:01,4281
00:04:00:83:76:2c,56
c2:3d:19:6c:00:01,3831
c2:3c:19:6c:00:01,4803
00:0c:29:9d:c9:d6,102
00:19:e2:a1:f9:86,84
00:00:00:00:00:00,222
'\x00\x0c)[\\xe8q',11
"'\x00\x0c)M,\\xc9'",6
00:21:6a:2d:3b:8e,32
d4:21:22:76:5b:78,34
00:0c:29:9d:c9:d6,102
00:19:e2:a1:f9:86,84
00:00:00:00:00:00,222
'\x00\x0c)[\\xe8q',11
"'\x00\x0c)M,\\xc9'",6
00:21:6a:2d:3b:8e,32
d4:21:22:76:5b:78,34
d4:21:22:76:5b:79,1
44:2b:03:19:03:44,1
08:5b:0e:3c:11:5d,52
00:04:00:83:76:2c,61
00:19:e2:a1:f9:89,28
00:12:3f:0a:8a:96,30
00:0c:29:9d:c9:d6,102
00:19:e2:a1:f9:86,84
00:00:00:00:00:00,222
'\x00\x0c)[\\xe8q',11
"'\x00\x0c)M,\\xc9'",6
00:21:6a:2d:3b:8e,32
d4:21:22:76:5b:78,34
00:19:e2:a1:f9:89,28
00:12:3f:0a:8a:96,30
00:0c:29:9d:c9:d6,102
00:19:e2:a1:f9:86,84
00:00:00:00:00:00,222
'\x00\x0c)[\\xe8q',11
"'\x00\x0c)M,\\xc9'",6
00:21:6a:2d:3b:8e,32
d4:21:22:76:5b:78,34
d4:21:22:76:5b:79,1
00:19:e2:a1:f9:89,28
00:12:3f:0a:8a:96,30
00:0c:29:9d:c9:d6,102
00:19:e2:a1:f9:86,84
00:00:00:00:00:00,222
'\x00\x0c)[\\xe8q',11
"'\x00\x0c)M,\\xc9'",6
00:21:6a:2d:3b:8e,32
d4:21:22:76:5b:78,34
d4:21:22:76:5b:79,1
00:19:e2:a1:f9:89,28
00:12:3f:0a:8a:96,30
00:0c:29:9d:c9:d6,102
00:19:e2:a1:f9:86,84
00:00:00:00:00:00,222
'\x00\x0c)[\\xe8q',11
"'\x00\x0c)M,\\xc9'",6
00:21:6a:2d:3b:8e,32
d4:21:22:76:5b:78,34
d4:21:22:76:5b:79,1
00:0c:29:9d:c9:d6,102
00:19:e2:a1:f9:86,84
00:00:00:00:00:00,222
'\x00\x0c)[\\xe8q',11
"'\x00\x0c)M,\\xc9'",6
00:21:6a:2d:3b:8e,32
d4:21:22:76:5b:78,34
d4:21:22:76:5b:79,1
44:2b:03:19:03:44,1
08:5b:0e:3c:11:5d,52
00:0c:29:9d:c9:d6,102
00:19:e2:a1:f9:86,84
00:00:00:00:00:00,222
'\x00\x0c)[\\xe8q',11
"'\x00\x0c)M,\\xc9'",6
00:21:6a:2d:3b:8e,32
d4:21:22:76:5b:78,34
d4:21:22:76:5b:79,1
44:2b:03:19:03:44,1
08:5b:0e:3c:11:5d,52
00:0c:29:9d:c9:d6,102
00:19:e2:a1:f9:86,84
00:00:00:00:00:00,222
'\x00\x0c)[\\xe8q',11
"'\x00\x0c)M,\\xc9'",6
00:21:6a:2d:3b:8e,32
d4:21:22:76:5b:78,34
d4:21:22:76:5b:79,1
44:2b:03:19:03:44,1
08:5b:0e:3c:11:5d,52
00:0c:29:9d:c9:d6,102
00:19:e2:a1:f9:86,84
00:00:00:00:00:00,222
'\x00\x0c)[\\xe8q',11
"'\x00\x0c)M,\\xc9'",6
00:21:6a:2d:3b:8e,32
d4:21:22:76:5b:78,34
d4:21:22:76:5b:79,1
44:2b:03:19:03:44,1
08:5b:0e:3c:11:5d,52
00:0c:29:9d:c9:d6,102
00:19:e2:a1:f9:86,84
00:00:00:00:00:00,222
'\x00\x0c)[\\xe8q',11
"'\x00\x0c)M,\\xc9'",6
00:21:6a:2d:3b:8e,32
d4:21:22:76:5b:78,34
d4:21:22:76:5b:79,1
44:2b:03:19:03:44,1
08:5b:0e:3c:11:5d,52
00:0c:29:9d:c9:d6,102
00:19:e2:a1:f9:86,84
00:00:00:00:00:00,222
'\x00\x0c)[\\xe8q',11
"'\x00\x0c)M,\\xc9'",6
00:21:6a:2d:3b:8e,32
d4:21:22:76:5b:78,34
d4:21:22:76:5b:79,1
44:2b:03:19:03:44,1
08:5b:0e:3c:11:5d,52
